cod_lugar;descripcion;observacion;Categoria;fecha_modif,;Calle/Ruta,;e-mail,;Coordenadas Google M,;Número/Km.,;Teléfono 1,;Zona;Pesca Recreativa  (*);Deportes de Aventura  (*);Casinos y Bingos  (*);Recreación para niños (*);Ferias y Mercados  (*);Parques Temáticos (*);Establecimientos para pasar el día (*);Emprendimientos productivos (*);Paseos Aéreos (*);Excursiones marítimas (*);Alquiler de bicicletas y motos (*);Circuitos de kartings y cuatriciclos (*);Caminatas y Actividades Físicas (*);Bowlings (*);Circuitos Guiados (*);Miradores (*);Museos y Centros Culturales (*);Reservas Ecológicas (*);Turismo Religioso (*);Guías de Turismo (*);Cabalgatas (*);Categorias Adicionales
13066;Centro Cultural Victoria Ocampo. Villa Victoria;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;22/01/2025;Matheu;villavictoria100@gmail.com;-38.019945, -57.552866;1851;(0223) 494-2878 / (0223) 493-5302;Los Troncos;;;;;;;;;;;;;;;;;;;;;;
13068;Espacio Unzué;;Museos y Centros Culturales;21/11/2023;Río Negro;prensaunzue@gmail.com;-37.981294, -57.545042;3500;(0223) 474-1288;Perla Norte, Playa;;;;;;;;;;;;;;;;;;;;;;
21861;Museo Eva Perón;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Paseo Costanero Sur Presidente Illia;silviaturismo1@hotmail.com;-38.206602, -57.696140;20;(0223) 469-9184;Sur;;;;;;;;;;;;;;;;;;;;;;
28005;Museo Casa Sobre El Arroyo - Casa del Puente;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Quintana;casasobreelarroyo@mardelplata.gob.ar;-38.008295, -57.573986;3998;(0223) 420-1280;Complejo Universitario;;;;;;;;;;;;;;;;;;;;;;
56297;MAR - Museo de Arte Contemporáneo;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Av. Félix U. Camet;;-37.973430, -57.543074;;;Perla Norte, Playa;;;;;;;;;;;;;;;;;;;;;;
56778;Centro Cultural Cabildo;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Aragón;cabildo_republicaargentina@hotmail.com;-37.949415, -57.580799;7849;(0223) 479-7917;Constitución;;;;;;;;;;;;;;;;;;;;;;
57042;Museo del Comando de la Fuerza de Submarinos;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Escollera Norte;rrppbasenavalmdp@hotmail.com;-38.033711, -57.528500;;(0223) 486-3010;Playa Grande;;;;;;;;;;;;;;;;;;;;;;
57043;Faro de la Memoria;;Museos y Centros Culturales;19/07/2024;Paseo Costanero Sur Presidente Illia;farodelamemoria@gmail.com;-38.091377, -57.544648;5700;(0223) 467-1101;Playas Alfar;;;;;;;;;;;;;;;;;;;;;;
58642;Museo  Naval Vito  Dumas -  Café Makao;;Museos y Centros Culturales;15/01/2025;Bv. Marítimo Patricio Peralta Ramos;;-38.016604, -57.530028;3997;(0223) 486-1176;Varese;;;;;;;;;;;;;;;;;;;;;;
13069;Reserva Faunística de Lobos Marinos;;Reservas Ecológicas;31/07/2023;Escollera Sur - Camino a El Salvador;;-38.043495, -57.527064;;;Puerto;;;;;;;;;;;;;;;;;;;;;;
19014;Reserva Integral Laguna de los Padres - Avistaje de Aves;;Reservas Ecológicas;31/07/2023;Ruta 226;recursosnaturalesmdp@gmail.com;-37.936417, -57.720847;14;(0223) 463-1488;Serrana;;;;;;;;;;;;;;;;;;;;;;
25909;Reserva Natural Puerto Mar del Plata;;Reservas Ecológicas;19/07/2024;Av. de los Trabajadores;;-38.054326, -57.546985;1100;;Puerto;;;;;;;;;;;;;;;;;;;;;;
57166;Reserva Natural Integral Mar Chiquita;;Reservas Ecológicas;31/07/2023;Ruta 11;turismomarchiquita@gmail.com;-37.845610, -57.508522;;(0223) 460-2433;;;;;;;;;;;;;;;;;;;;;;;
13067;Gruta Nuestra Señora de Lourdes;;Turismo Religioso;15/01/2025;Magallanes;;-38.038695, -57.553674;4051;(0223) 480-3072;Puerto, Barrio;;;;;;;;;;;;;;;;;;;;;;
13216;Catedral de los Santos Pedro y Cecilia;;Turismo Religioso;15/01/2025;San Martín;catemdp@iglesiamdp.org;-37.998649, -57.548727;2780;(0223) 495-0395;Centro;;;;;;;;;;;;;;;;;;;;;;
15837;Santuario Nuestra Señora de Schoenstatt;;Turismo Religioso;15/01/2025;Beltrán Fray Luis;schoenstatt@mdpcc.edu.ar;-37.926671, -57.563164;7800;2235799249;Camet, Barrio;;;;;;;;;;;;;;;;;;;;;;
21413;Parroquia Padre Pío de Pietrelcina;;Turismo Religioso;15/01/2025;Sánchez de Bustamante;parroquiapadrepiomdp@yahoo.com;-38.087078, -57.551515;3850;2236-351968 (WhatsApp);Playas Alfar;;;;;;;;;;;;;;;;;;;;;;
56459;Capilla Divino Rostro;;Turismo Religioso;03/06/2021;Almafuerte;;-38.022698, -57.551843;1671;(0223) 451-2671;Los Troncos;;;;;;;;;;;;;;;;;;;;;;
56460;Capilla Stella Maris;;Turismo Religioso;15/01/2025;Brown;;-38.012109, -57.535709;1054;(0223) 451-0256;Varese;;;;;;;;;;;;;;;;;;;;;;
57369;Parroquia Asunción de la Santísima Virgen María;;Turismo Religioso;15/01/2025;Santa Fe;asuncion@iglesiamdp.org;-38.010547, -57.553174;2972;(0223) 494-4898;;;;;;;;;;;;;;;;;;;;;;;
58127;Iglesia Ortodoxa Rusa;;Turismo Religioso;15/01/2025;Borthaburu;;-38.095489, -57.569840;5007;223-5752783;Sur;;;;;;;;;;;;;;;;;;;;;;
58283;Itinerario Guiado Peatonal Multireligioso - Tres Templos;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos;Turismo Religioso;15/01/2023;Reserva Telefónica;;;;;;;;;;;;;;;;;;;;;;;;;;;
58343;Iglesia Ortodoxa Griega - Capilla San Jorge;;Turismo Religioso;31/08/2022;Falucho;;;4456;2235 228945;;;;;;;;;;;;;;;;;;;;;;;
58349;Parroquia La Sagrada Familia y San Luis Orione;;Turismo Religioso;15/01/2025;Rondeau;;-38.041454, -57.551538;551;(0223) 480-3702;Puerto;;;;;;;;;;;;;;;;;;;;;;
58350;Parroquia Nuestra Señora del Rosario de Nueva Pompeya;;Turismo Religioso;15/01/2025;Av. Libertad;;-37.986202, -57.557147;4085;(0223) 473-1349.;Nueva Pompeya;;;;;;;;;;;;;;;;;;;;;;
59011;Capilla Santa Cecilia;;Turismo Religioso;13/01/2024;Córdoba;;-37.996476, -57.544448;1338;(0223) 495-0670 (colegio);Centro;;;;;;;;;;;;;;;;;;;;;;
57680;Guias de Turismo Profesionales;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos;Guías de Turismo;31/10/2022;Ver Observaciones;;-38.004417, -57.542406;;;;;;;;;;;;;;;;;;;;;;;;;
58292;Cabalgatas Guiadas - Club Hípico Gato y Mancha;;Cabalgatas;14/01/2025;Laguna de los Padres;;;14;2236-821348;Serrana;;;;;;;;;;;;;;;;;;;;;;
